filename,split,angle_bin,offset_bin,stratum,delta_theta_deg,delta_rho_px,delta_rho_norm,iou,latency_ms,failed
01_01m32s-01m55s_aerial_recon_f022.jpg,test,flat,low,flat_low,1.0779,9.4195,0.019624,,2.048,0
01_01m32s-01m55s_aerial_recon_f028.jpg,test,flat,low,flat_low,13.3733,105.2543,0.219280,,2.078,0
01_01m32s-01m55s_aerial_recon_f031.jpg,test,flat,low,flat_low,0.9692,6.9719,0.014525,,2.130,0
01_01m32s-01m55s_aerial_recon_f032.jpg,test,flat,low,flat_low,0.9085,7.6570,0.015952,,2.102,0
04_10m34s-11m00s_fpv_treeline_f026.jpg,test,flat,low,flat_low,8.6931,81.7159,0.170241,,1.959,0
04_10m34s-11m00s_fpv_treeline_f029.jpg,test,flat,low,flat_low,9.7608,81.4762,0.169742,,2.022,0
04_10m34s-11m00s_fpv_treeline_f034.jpg,test,flat,low,flat_low,8.7851,70.3587,0.146581,,1.982,0
04_10m34s-11m00s_fpv_treeline_f048.jpg,test,flat,low,flat_low,2.0113,35.2790,0.073498,,1.997,0
04_10m34s-11m00s_fpv_treeline_f002.jpg,test,flat,mid,flat_mid,4.1404,6.0323,0.012567,,1.986,0
04_10m34s-11m00s_fpv_treeline_f019.jpg,test,flat,mid,flat_mid,0.1840,2.2056,0.004595,,1.973,0
04_10m34s-11m00s_fpv_treeline_f041.jpg,test,flat,mid,flat_mid,1.6015,60.8758,0.126825,,2.008,0
05_11m00s-11m04s_fpv_road_approach_f002.jpg,test,flat,mid,flat_mid,4.5223,44.7860,0.093304,,1.998,0
05_11m00s-11m04s_fpv_road_approach_f006.jpg,test,flat,mid,flat_mid,52.2140,271.5462,0.565721,,1.972,0
07_06m18s-06m25s_ground_pov_f000.jpg,test,flat,mid,flat_mid,0.5360,3.6533,0.007611,,2.132,0
07_06m18s-06m25s_ground_pov_f005.jpg,test,flat,mid,flat_mid,1.7219,7.4642,0.015550,,1.990,0
07_06m18s-06m25s_ground_pov_f007.jpg,test,flat,mid,flat_mid,0.7283,4.4194,0.009207,,2.010,0
07_06m18s-06m25s_ground_pov_f008.jpg,test,flat,mid,flat_mid,1.4977,9.6747,0.020156,,2.051,0
01_01m32s-01m55s_aerial_recon_f015.jpg,test,moderate,low,moderate_low,14.4281,215.9580,0.449912,,2.073,0
01_01m32s-01m55s_aerial_recon_f016.jpg,test,moderate,low,moderate_low,14.9495,421.5604,0.878251,,2.036,0
01_01m32s-01m55s_aerial_recon_f037.jpg,test,moderate,mid,moderate_mid,5.1869,131.0329,0.272985,,2.038,0
