filename,split,angle_bin,offset_bin,stratum,delta_theta_deg,delta_rho_px,delta_rho_norm,iou,latency_ms,failed
b4-converted.mp4-00.06.31.585-00.06.57.052_0.jpg,train,flat,mid,flat_mid,1.3081,9.7660,0.020346,0.9228,102.515,0
b4-converted.mp4-00.06.31.585-00.06.57.052_30.jpg,train,flat,mid,flat_mid,2.3354,4.8716,0.010149,0.9926,40.013,0
b4-converted.mp4-00.07.44.544-00.08.07.367_0.jpg,train,flat,mid,flat_mid,1.3700,2.3310,0.004856,0.9962,43.541,0
b4-converted.mp4-00.08.30.960-00.08.58.324_0.jpg,train,flat,mid,flat_mid,0.3333,3.7277,0.007766,0.9955,50.643,0
b4-converted.mp4-00.08.30.960-00.08.58.324_20.jpg,train,flat,mid,flat_mid,4.5828,11.3398,0.023625,0.9890,44.327,0
b4-converted.mp4-00.08.30.960-00.08.58.324_30.jpg,train,flat,mid,flat_mid,2.5458,3.9749,0.008281,0.8702,311.455,0
c1-converted.mp4-00.07.52.353-00.09.59.939_100.jpg,train,flat,mid,flat_mid,0.2594,8.4572,0.017619,0.6396,138.102,0
c1-converted.mp4-00.07.52.353-00.09.59.939_150.jpg,train,flat,mid,flat_mid,1.5994,2.2123,0.004609,0.9691,20.302,0
c1-converted.mp4-00.07.52.353-00.09.59.939_160.jpg,train,flat,mid,flat_mid,1.6675,3.7456,0.007803,0.9633,24.123,0
c1-converted.mp4-00.07.52.353-00.09.59.939_20.jpg,train,flat,mid,flat_mid,1.4813,3.5015,0.007295,0.7835,143.235,0
c1-converted.mp4-00.07.52.353-00.09.59.939_30.jpg,train,flat,mid,flat_mid,0.7573,8.1803,0.017042,0.9455,68.783,0
c19-converted.mp4-00.01.53.703-00.02.35.685_30.jpg,train,flat,mid,flat_mid,0.9068,6.6212,0.013794,0.9138,191.023,0
c19-converted.mp4-00.01.53.703-00.02.35.685_50.jpg,train,flat,mid,flat_mid,1.1675,7.9019,0.016462,0.9506,45.816,0
c19-converted.mp4-00.02.37.436-00.03.17.091_20.jpg,train,flat,mid,flat_mid,0.5477,8.8866,0.018514,0.9438,20.152,0
c19-converted.mp4-00.02.37.436-00.03.17.091_30.jpg,train,flat,mid,flat_mid,0.5387,14.5004,0.030209,0.9539,22.749,0
c19-converted.mp4-00.03.20.301-00.05.47.074_140.jpg,train,flat,mid,flat_mid,0.8203,7.8458,0.016345,0.9577,23.149,0
c19-converted.mp4-00.03.20.301-00.05.47.074_150.jpg,train,flat,mid,flat_mid,1.1716,6.0580,0.012621,0.9490,25.132,0
c19-converted.mp4-00.03.20.301-00.05.47.074_160.jpg,train,flat,mid,flat_mid,0.6274,8.4642,0.017634,0.9456,40.484,0
c19-converted.mp4-00.03.20.301-00.05.47.074_170.jpg,train,flat,mid,flat_mid,0.0787,12.8457,0.026762,0.9568,21.747,0
c19-converted.mp4-00.03.20.301-00.05.47.074_50.jpg,train,flat,mid,flat_mid,0.7583,8.4771,0.017661,0.9534,42.946,0
c19-converted.mp4-00.03.20.301-00.05.47.074_60.jpg,train,flat,mid,flat_mid,0.9375,5.9011,0.012294,0.9539,22.060,0
c19-converted.mp4-00.03.20.301-00.05.47.074_70.jpg,train,flat,mid,flat_mid,0.4057,15.4324,0.032151,0.9391,24.207,0
c19-converted.mp4-00.03.20.301-00.05.47.074_90.jpg,train,flat,mid,flat_mid,2.1446,21.9632,0.045757,0.8835,30.281,0
c2-converted.mp4-00.04.12.298-00.06.07.792_0.jpg,train,flat,mid,flat_mid,1.2334,7.3326,0.015276,0.9173,162.602,0
c2-converted.mp4-00.04.12.298-00.06.07.792_10.jpg,train,flat,mid,flat_mid,6.1768,183.4496,0.382187,0.7060,135.330,0
c2-converted.mp4-00.04.12.298-00.06.07.792_100.jpg,train,flat,mid,flat_mid,0.8848,8.6091,0.017936,0.8472,138.646,0
c2-converted.mp4-00.04.12.298-00.06.07.792_120.jpg,train,flat,mid,flat_mid,0.4681,6.5707,0.013689,0.9572,29.589,0
c2-converted.mp4-00.04.12.298-00.06.07.792_160.jpg,train,flat,mid,flat_mid,5.3744,185.8116,0.387107,0.8019,129.925,0
c2-converted.mp4-00.06.23.052-00.06.50.427_10.jpg,train,flat,mid,flat_mid,6.9249,186.5602,0.388667,0.6828,142.822,0
c2-converted.mp4-00.06.23.052-00.06.50.427_30.jpg,train,flat,mid,flat_mid,1.3855,2.4849,0.005177,0.9509,70.923,0
c2-converted.mp4-00.06.51.725-00.07.57.470_0.jpg,train,flat,mid,flat_mid,0.4986,8.8573,0.018453,0.9657,19.807,0
c2-converted.mp4-00.06.51.725-00.07.57.470_10.jpg,train,flat,mid,flat_mid,0.9418,6.7722,0.014109,0.9581,21.369,0
c20-converted.mp4-00.05.51.134-00.10.32.300_0.jpg,train,flat,mid,flat_mid,0.6684,16.6873,0.034765,0.9419,21.516,0
c20-converted.mp4-00.05.51.134-00.10.32.300_110.jpg,train,flat,mid,flat_mid,1.1836,10.4684,0.021809,0.9367,94.571,0
c20-converted.mp4-00.05.51.134-00.10.32.300_130.jpg,train,flat,mid,flat_mid,0.5663,8.4779,0.017662,0.9513,40.364,0
c20-converted.mp4-00.05.51.134-00.10.32.300_160.jpg,train,flat,mid,flat_mid,1.5464,2.8759,0.005992,0.9557,26.433,0
c20-converted.mp4-00.05.51.134-00.10.32.300_170.jpg,train,flat,mid,flat_mid,0.3188,10.8164,0.022534,0.9543,22.928,0
c20-converted.mp4-00.05.51.134-00.10.32.300_180.jpg,train,flat,mid,flat_mid,0.3031,10.3219,0.021504,0.9488,24.397,0
c20-converted.mp4-00.05.51.134-00.10.32.300_210.jpg,train,flat,mid,flat_mid,0.7505,7.4063,0.015430,0.9488,21.581,0
c20-converted.mp4-00.05.51.134-00.10.32.300_220.jpg,train,flat,mid,flat_mid,1.4639,5.3437,0.011133,0.9581,20.602,0
c20-converted.mp4-00.05.51.134-00.10.32.300_250.jpg,train,flat,mid,flat_mid,0.2432,10.1575,0.021161,0.9413,57.800,0
c20-converted.mp4-00.05.51.134-00.10.32.300_280.jpg,train,flat,mid,flat_mid,0.9481,33.7518,0.070316,0.8845,41.573,0
c20-converted.mp4-00.05.51.134-00.10.32.300_300.jpg,train,flat,mid,flat_mid,1.1757,4.7330,0.009860,0.9603,21.889,0
c20-converted.mp4-00.05.51.134-00.10.32.300_310.jpg,train,flat,mid,flat_mid,0.9443,6.5813,0.013711,0.9554,50.006,0
c20-converted.mp4-00.05.51.134-00.10.32.300_50.jpg,train,flat,mid,flat_mid,0.6663,8.1931,0.017069,0.9485,51.094,0
c3-converted.mp4-00.08.19.510-00.09.54.902_0.jpg,train,flat,mid,flat_mid,0.4669,13.7001,0.028542,0.9170,91.643,0
c3-converted.mp4-00.08.19.510-00.09.54.902_10.jpg,train,flat,mid,flat_mid,0.6463,12.1313,0.025274,0.8947,101.118,0
c3-converted.mp4-00.08.19.510-00.09.54.902_60.jpg,train,flat,mid,flat_mid,1.8974,1.3949,0.002906,0.9188,87.823,0
c3-converted.mp4-00.10.09.262-00.10.59.874_0.jpg,train,flat,mid,flat_mid,0.8124,13.4909,0.028106,0.9565,24.973,0
d1-converted.mp4-00.05.02.749-00.09.02.120_120.jpg,train,flat,mid,flat_mid,1.0774,13.2170,0.027535,0.9673,21.309,0
d1-converted.mp4-00.05.02.749-00.09.02.120_160.jpg,train,flat,mid,flat_mid,0.1415,0.4883,0.001017,0.9937,30.922,0
d1-converted.mp4-00.05.02.749-00.09.02.120_190.jpg,train,flat,mid,flat_mid,0.5745,8.2048,0.017093,0.9775,26.271,0
d1-converted.mp4-00.05.02.749-00.09.02.120_20.jpg,train,flat,mid,flat_mid,0.5958,10.2015,0.021253,0.9721,22.021,0
d1-converted.mp4-00.05.02.749-00.09.02.120_200.jpg,train,flat,mid,flat_mid,0.7521,10.7349,0.022364,0.9681,25.050,0
d1-converted.mp4-00.05.02.749-00.09.02.120_210.jpg,train,flat,mid,flat_mid,0.7843,10.9336,0.022778,0.9710,22.129,0
d1-converted.mp4-00.05.02.749-00.09.02.120_230.jpg,train,flat,mid,flat_mid,0.2856,6.0409,0.012585,0.9675,19.097,0
d1-converted.mp4-00.05.02.749-00.09.02.120_50.jpg,train,flat,mid,flat_mid,0.8429,2.6982,0.005621,0.9740,39.526,0
d1-converted.mp4-00.05.02.749-00.09.02.120_60.jpg,train,flat,mid,flat_mid,0.0654,0.9923,0.002067,0.9936,28.600,0
d1-converted.mp4-00.05.02.749-00.09.02.120_80.jpg,train,flat,mid,flat_mid,0.6754,7.2516,0.015108,0.9832,27.483,0
d3-converted.mp4-00.10.13.789-00.10.48.756_0.jpg,train,flat,mid,flat_mid,1.5052,4.9064,0.010222,0.9892,24.265,0
d3-converted.mp4-00.10.13.789-00.10.48.756_20.jpg,train,flat,mid,flat_mid,0.0643,7.1698,0.014937,0.9710,45.368,0
d3-converted.mp4-00.10.13.789-00.10.48.756_30.jpg,train,flat,mid,flat_mid,0.1135,2.2033,0.004590,0.9869,24.648,0
d3-converted.mp4-00.11.00.558-00.11.19.164_10.jpg,train,flat,mid,flat_mid,0.7656,2.5940,0.005404,0.9923,25.679,0
d3-converted.mp4-00.12.04.422-00.13.35.453_0.jpg,train,flat,mid,flat_mid,0.6136,1.3714,0.002857,0.9902,26.340,0
d5-converted.mp4-00.04.00.521-00.07.04.857_0.jpg,train,flat,mid,flat_mid,0.6924,8.9272,0.018598,0.9451,22.194,0
d5-converted.mp4-00.04.00.521-00.07.04.857_130.jpg,train,flat,mid,flat_mid,1.8238,1.5713,0.003273,0.9606,21.858,0
d5-converted.mp4-00.04.00.521-00.07.04.857_160.jpg,train,flat,mid,flat_mid,0.2197,11.0951,0.023115,0.9482,54.544,0
d5-converted.mp4-00.04.00.521-00.07.04.857_20.jpg,train,flat,mid,flat_mid,1.4858,1.2288,0.002560,0.9677,20.537,0
